Family, Part, BRAM_INT_INTERFACE_L, BRAM_INT_INTERFACE_R, BRAM_L, BRAM_R, BRKH_BRAM, BRKH_B_TERM_INT, BRKH_CLB, BRKH_CLK, BRKH_CMT, BRKH_DSP_L, BRKH_DSP_R, BRKH_GTX, BRKH_INT, BRKH_INT_PSS, BRKH_TERM_INT, B_TERM_INT, B_TERM_INT, B_TERM_INT_NOUTURN, B_TERM_INT_PSS, B_TERM_INT_SLV, B_TERM_VBRK, CFG_CENTER_BOT, CFG_CENTER_MID, CFG_CENTER_MID, CFG_CENTER_MID_SLAVE, CFG_CENTER_TOP, CFG_CENTER_TOP_SLAVE, CFG_SECURITY_BOT_PELE1, CFG_SECURITY_MID_PELE1, CFG_SECURITY_TOP_PELE1, CLBLL_L, CLBLL_R, CLBLM_L, CLBLM_R, CLK_BALI_REBUF, CLK_BALI_REBUF_GTZ_BOT, CLK_BALI_REBUF_GTZ_TOP, CLK_BUFG_BOT_R, CLK_BUFG_REBUF, CLK_BUFG_TOP_R, CLK_FEED, CLK_HROW_BOT_R, CLK_HROW_TOP_R, CLK_MTBF2, CLK_PMV, CLK_PMV2, CLK_PMV2_SVT, CLK_PMVIOB, CLK_TERM, CLK_TERM, CMT_FIFO_L, CMT_FIFO_R, CMT_PMV, CMT_PMV_L, CMT_TOP_L_LOWER_B, CMT_TOP_L_LOWER_T, CMT_TOP_L_UPPER_B, CMT_TOP_L_UPPER_T, CMT_TOP_R_LOWER_B, CMT_TOP_R_LOWER_T, CMT_TOP_R_UPPER_B, CMT_TOP_R_UPPER_T, DSP_L, DSP_R, GTH_CHANNEL_0, GTH_CHANNEL_1, GTH_CHANNEL_2, GTH_CHANNEL_3, GTH_COMMON, GTH_INT_INTERFACE, GTH_INT_INTERFACE_L, GTP_CHANNEL_0, GTP_CHANNEL_0_MID_LEFT, GTP_CHANNEL_0_MID_RIGHT, GTP_CHANNEL_1, GTP_CHANNEL_1_MID_LEFT, GTP_CHANNEL_1_MID_RIGHT, GTP_CHANNEL_2, GTP_CHANNEL_2_MID_LEFT, GTP_CHANNEL_2_MID_RIGHT, GTP_CHANNEL_3, GTP_CHANNEL_3_MID_LEFT, GTP_CHANNEL_3_MID_RIGHT, GTP_COMMON, GTP_COMMON_MID_LEFT, GTP_COMMON_MID_RIGHT, GTP_INT_INTERFACE, GTP_INT_INTERFACE_L, GTP_INT_INTERFACE_R, GTP_INT_INT_TERM_L, GTP_INT_INT_TERM_R, GTP_MID_CHANNEL_STUB, GTP_MID_COMMON_STUB, GTX_CHANNEL_0, GTX_CHANNEL_1, GTX_CHANNEL_2, GTX_CHANNEL_3, GTX_COMMON, GTX_INT_INTERFACE, GTX_INT_INTERFACE_L, GTZ_BOT, GTZ_BRAM, GTZ_CLB_INTF_IOB, GTZ_CLK, GTZ_CLK_B, GTZ_CMT, GTZ_DSP, GTZ_INT, GTZ_INT_L, GTZ_INT_LB, GTZ_INT_R, GTZ_INT_RB, GTZ_IOI, GTZ_TOP, GTZ_VBRK_INTF, HCLK_BRAM, HCLK_CLB, HCLK_CMT, HCLK_CMT_L, HCLK_DSP_L, HCLK_DSP_R, HCLK_FEEDTHRU_1, HCLK_FEEDTHRU_1_PELE, HCLK_FEEDTHRU_2, HCLK_FIFO_L, HCLK_GTX, HCLK_INT_INTERFACE, HCLK_IOB, HCLK_IOI, HCLK_IOI3, HCLK_L, HCLK_L_BOT_UTURN, HCLK_L_SLV, HCLK_L_TOP_UTURN, HCLK_R, HCLK_R_BOT_UTURN, HCLK_R_SLV, HCLK_R_TOP_UTURN, HCLK_TERM, HCLK_TERM_GTX, HCLK_VBRK, HCLK_VFRAME, INT_FEEDTHRU_1, INT_FEEDTHRU_2, INT_INTERFACE_L, INT_INTERFACE_PSS_L, INT_INTERFACE_R, INT_L, INT_L_SLV, INT_L_SLV_FLY, INT_R, INT_R_SLV, INT_R_SLV_FLY, IO_INT_INTERFACE_L, IO_INT_INTERFACE_R, LIOB18, LIOB18_SING, LIOB33, LIOB33_SING, LIOI, LIOI3, LIOI3_SING, LIOI3_TBYTESRC, LIOI3_TBYTETERM, LIOI_SING, LIOI_TBYTESRC, LIOI_TBYTETERM, L_TERM_INT, L_TERM_INT_BRAM, MONITOR_BOT, MONITOR_BOT_FUJI2, MONITOR_BOT_PELE1, MONITOR_BOT_SLAVE, MONITOR_MID, MONITOR_MID_FUJI2, MONITOR_MID_PELE1, MONITOR_TOP, MONITOR_TOP_FUJI2, MONITOR_TOP_PELE1, PCIE3_BOT_RIGHT, PCIE3_INT_INTERFACE_L, PCIE3_INT_INTERFACE_R, PCIE3_RIGHT, PCIE3_TOP_RIGHT, PCIE_BOT, PCIE_BOT_LEFT, PCIE_INT_INTERFACE_L, PCIE_INT_INTERFACE_LEFT_L, PCIE_INT_INTERFACE_R, PCIE_NULL, PCIE_TOP, PCIE_TOP_LEFT, PSS0, PSS1, PSS2, PSS3, PSS4, RIOB18, RIOB18_SING, RIOB33, RIOB33_SING, RIOI, RIOI3, RIOI3_SING, RIOI3_TBYTESRC, RIOI3_TBYTETERM, RIOI_SING, RIOI_TBYTESRC, RIOI_TBYTETERM, R_TERM_INT, R_TERM_INT_GTX, TERM_CMT, T_TERM_INT, T_TERM_INT_NOUTURN, T_TERM_INT_SLV, VBRK, VBRK_EXT, VFRAME
artix7,  xc7a12ticsg325-1L, X, X, X, X, X, , X, X, X, X, X, X, X, , X, X, , , , , , X, X, , , X, , , , , X, X, X, X, , , , X, X, X, X, X, X, X, X, X, X, X, X, , X, X, X, X, X, X, X, X, X, X, X, X, X, X, , , , , , , , X, , , X, , , X, , , X, , , X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , X, X, X, X, X, X, X, , X, X, X, X, X, , X, X, X, , , X, X, , , X, X, X, X, X, X, X, , X, X, , , X, , , X, X, , , X, X, , X, X, X, X, , , , X, , , X, , , , X, , , X, , , , , , , X, , X, , X, X, X, , , , , , , , , X, X, , X, X, X, X, , , , X, X, X, X, , , X, X, X
artix7,  xc7a12ticpg238-1L, X, X, X, X, X, , X, X, X, X, X, X, X, , X, X, , , , , , X, X, , , X, , , , , X, X, X, X, , , , X, X, X, X, X, X, X, X, X, X, X, X, , X, X, X, X, X, X, X, X, X, X, X, X, X, X, , , , , , , , X, , , X, , , X, , , X, , , X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , X, X, X, X, X, X, X, , X, X, X, X, X, , X, X, X, , , X, X, , , X, X, X, X, X, X, X, , X, X, , , X, , , X, X, , , X, X, , X, X, X, X, , , , X, , , X, , , , X, , , X, , , , , , , X, , X, , X, X, X, , , , , , , , , X, X, , X, X, X, X, , , , X, X, X, X, , , X, X, X
artix7,  xc7a12tcsg325-1, X, X, X, X, X, , X, X, X, X, X, X, X, , X, X, , , , , , X, X, , , X, , , , , X, X, X, X, , , , X, X, X, X, X, X, X, X, X, X, X, X, , X, X, X, X, X, X, X, X, X, X, X, X, X, X, , , , , , , , X, , , X, , , X, , , X, , , X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , X, X, X, X, X, X, X, , X, X, X, X, X, , X, X, X, , , X, X, , , X, X, X, X, X, X, X, , X, X, , , X, , , X, X, , , X, X, , X, X, X, X, , , , X, , , X, , , , X, , , X, , , , , , , X, , X, , X, X, X, , , , , , , , , X, X, , X, X, X, X, , , , X, X, X, X, , , X, X, X
artix7,  xc7a12tcsg325-2, X, X, X, X, X, , X, X, X, X, X, X, X, , X, X, , , , , , X, X, , , X, , , , , X, X, X, X, , , , X, X, X, X, X, X, X, X, X, X, X, X, , X, X, X, X, X, X, X, X, X, X, X, X, X, X, , , , , , , , X, , , X, , , X, , , X, , , X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , X, X, X, X, X, X, X, , X, X, X, X, X, , X, X, X, , , X, X, , , X, X, X, X, X, X, X, , X, X, , , X, , , X, X, , , X, X, , X, X, X, X, , , , X, , , X, , , , X, , , X, , , , , , , X, , X, , X, X, X, , , , , , , , , X, X, , X, X, X, X, , , , X, X, X, X, , , X, X, X
artix7,  xc7a12tcsg325-2L, X, X, X, X, X, , X, X, X, X, X, X, X, , X, X, , , , , , X, X, , , X, , , , , X, X, X, X, , , , X, X, X, X, X, X, X, X, X, X, X, X, , X, X, X, X, X, X, X, X, X, X, X, X, X, X, , , , , , , , X, , , X, , , X, , , X, , , X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , X, X, X, X, X, X, X, , X, X, X, X, X, , X, X, X, , , X, X, , , X, X, X, X, X, X, X, , X, X, , , X, , , X, X, , , X, X, , X, X, X, X, , , , X, , , X, , , , X, , , X, , , , , , , X, , X, , X, X, X, , , , , , , , , X, X, , X, X, X, X, , , , X, X, X, X, , , X, X, X
artix7,  xc7a12tcsg325-3, X, X, X, X, X, , X, X, X, X, X, X, X, , X, X, , , , , , X, X, , , X, , , , , X, X, X, X, , , , X, X, X, X, X, X, X, X, X, X, X, X, , X, X, X, X, X, X, X, X, X, X, X, X, X, X, , , , , , , , X, , , X, , , X, , , X, , , X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , X, X, X, X, X, X, X, , X, X, X, X, X, , X, X, X, , , X, X, , , X, X, X, X, X, X, X, , X, X, , , X, , , X, X, , , X, X, , X, X, X, X, , , , X, , , X, , , , X, , , X, , , , , , , X, , X, , X, X, X, , , , , , , , , X, X, , X, X, X, X, , , , X, X, X, X, , , X, X, X
artix7,  xc7a12tcpg238-1, X, X, X, X, X, , X, X, X, X, X, X, X, , X, X, , , , , , X, X, , , X, , , , , X, X, X, X, , , , X, X, X, X, X, X, X, X, X, X, X, X, , X, X, X, X, X, X, X, X, X, X, X, X, X, X, , , , , , , , X, , , X, , , X, , , X, , , X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , X, X, X, X, X, X, X, , X, X, X, X, X, , X, X, X, , , X, X, , , X, X, X, X, X, X, X, , X, X, , , X, , , X, X, , , X, X, , X, X, X, X, , , , X, , , X, , , , X, , , X, , , , , , , X, , X, , X, X, X, , , , , , , , , X, X, , X, X, X, X, , , , X, X, X, X, , , X, X, X
artix7,  xc7a12tcpg238-2, X, X, X, X, X, , X, X, X, X, X, X, X, , X, X, , , , , , X, X, , , X, , , , , X, X, X, X, , , , X, X, X, X, X, X, X, X, X, X, X, X, , X, X, X, X, X, X, X, X, X, X, X, X, X, X, , , , , , , , X, , , X, , , X, , , X, , , X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , X, X, X, X, X, X, X, , X, X, X, X, X, , X, X, X, , , X, X, , , X, X, X, X, X, X, X, , X, X, , , X, , , X, X, , , X, X, , X, X, X, X, , , , X, , , X, , , , X, , , X, , , , , , , X, , X, , X, X, X, , , , , , , , , X, X, , X, X, X, X, , , , X, X, X, X, , , X, X, X
artix7,  xc7a12tcpg238-2L, X, X, X, X, X, , X, X, X, X, X, X, X, , X, X, , , , , , X, X, , , X, , , , , X, X, X, X, , , , X, X, X, X, X, X, X, X, X, X, X, X, , X, X, X, X, X, X, X, X, X, X, X, X, X, X, , , , , , , , X, , , X, , , X, , , X, , , X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , X, X, X, X, X, X, X, , X, X, X, X, X, , X, X, X, , , X, X, , , X, X, X, X, X, X, X, , X, X, , , X, , , X, X, , , X, X, , X, X, X, X, , , , X, , , X, , , , X, , , X, , , , , , , X, , X, , X, X, X, , , , , , , , , X, X, , X, X, X, X, , , , X, X, X, X, , , X, X, X
artix7,  xc7a12tcpg238-3, X, X, X, X, X, , X, X, X, X, X, X, X, , X, X, , , , , , X, X, , , X, , , , , X, X, X, X, , , , X, X, X, X, X, X, X, X, X, X, X, X, , X, X, X, X, X, X, X, X, X, X, X, X, X, X, , , , , , , , X, , , X, , , X, , , X, , , X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , X, X, X, X, X, X, X, , X, X, X, X, X, , X, X, X, , , X, X, , , X, X, X, X, X, X, X, , X, X, , , X, , , X, X, , , X, X, , X, X, X, X, , , , X, , , X, , , , X, , , X, , , , , , , X, , X, , X, X, X, , , , , , , , , X, X, , X, X, X, X, , , , X, X, X, X, , , X, X, X
